Age,Persons,Males ,Females
0-4,3790000,1939000,1851000
05 -09,3406000,1743000,1663000
10-14,3551000,1818000,1732000
15-19,3870000,1976000,1894000
20-24,4171000,2100000,2071000
25-29,4183000,2084000,2098000
30-34,4006000,2001000,2004000
35-39,4072000,2022000,2050000
40-44,4494000,2219000,2274000
45-49,4512000,2228000,2283000
50-54,3978000,1971000,2007000
55-59,3515000,1736000,1779000
60-64,3713000,1823000,1891000
65-69,2935000,1424000,1512000
70-74,2400000,1133000,1266000
75-79,1956000,882000,1074000
80-84,1460000,601000,860000
85-89,897000,317000,580000
90+,466000,125000,342000
