age.group,both.persons,both.cases,both.deaths,males.persons,males.cases,males.deaths,females.persons,females.cases,females.deaths
Under 1,944,192,13,451,86,4,493,106,9
Under 5,4576,1365,43,2281,688,14,2295,677,29
5-9,4355,1720,8,2192,856,4,2163,864,4
10-14,4141,1528,10,2017,715,3,2124,813,7
15-19,4134,1452,16,1927,631,8,2207,821,8
20-24,3785,1193,28,1361,373,12,2424,820,16
25-29,3793,1308,38,1540,517,25,2253,791,13
30-34,3608,1162,28,1638,540,19,1970,622,9
35-39,3489,939,23,1674,440,13,1815,490,10
40-44,2905,629,12,1431,322,9,1474,307,3
45-49,2638,507,4,1272,224,3,1366,283,1
50-54,2249,367,4,1085,170,3,1164,197,1
55-59,1526,222,4,690,97,2,836,125,2
60-64,1326,183,6,650,72,0,676,111,6
65-69,973,127,6,460,57,3,512,70,3
70-74,610,59,5,254,26,1,356,33,4
75 and over,599,44,2,244,22,2,355,22,0
Unknown,1829,241,6,847,110,2,982,131,4
